[run-experiment; hdiff at version alpha]
Location  MinSharingHeight  MergeResult
kong-28d6cf2ffcf2bebe8779a20838ec21ed78afeeda-d952b51e6c95e00382869fa0395c1b7760bab280 1 patience conflicting
kong-2b71933aefe7852e4bdb4c7ba1e134a62a5b8161-01c64f14e589dc0d7b5703137dcc35e0aea69d7d 1 proper conflicting
kong-2b71933aefe7852e4bdb4c7ba1e134a62a5b8161-01c64f14e589dc0d7b5703137dcc35e0aea69d7d 1 nonest conflicting
kong-2b71933aefe7852e4bdb4c7ba1e134a62a5b8161-01c64f14e589dc0d7b5703137dcc35e0aea69d7d 1 patience conflicting
kong-2b71933aefe7852e4bdb4c7ba1e134a62a5b8161-7a78023414b3f544c5ab9e1628c6e184ad2ac096 1 proper conflicting
kong-2b71933aefe7852e4bdb4c7ba1e134a62a5b8161-7a78023414b3f544c5ab9e1628c6e184ad2ac096 1 nonest success
kong-2b71933aefe7852e4bdb4c7ba1e134a62a5b8161-7a78023414b3f544c5ab9e1628c6e184ad2ac096 1 patience success
kong-2b71933aefe7852e4bdb4c7ba1e134a62a5b8161-c01f64a4253ebf580aa66f090add3453b7ab6998 1 proper conflicting
kong-2b71933aefe7852e4bdb4c7ba1e134a62a5b8161-c01f64a4253ebf580aa66f090add3453b7ab6998 1 nonest conflicting
kong-2b71933aefe7852e4bdb4c7ba1e134a62a5b8161-c01f64a4253ebf580aa66f090add3453b7ab6998 1 patience conflicting
kong-2b71933aefe7852e4bdb4c7ba1e134a62a5b8161-da4ab75d41610e076f8a435cee9049e6136ea949 1 proper conflicting
kong-2b71933aefe7852e4bdb4c7ba1e134a62a5b8161-da4ab75d41610e076f8a435cee9049e6136ea949 1 nonest conflicting
kong-2b71933aefe7852e4bdb4c7ba1e134a62a5b8161-da4ab75d41610e076f8a435cee9049e6136ea949 1 patience conflicting
kong-2b71933aefe7852e4bdb4c7ba1e134a62a5b8161-f2511bc37809b2e02237d32b410ac220e818b8ca 1 proper conflicting
kong-2b71933aefe7852e4bdb4c7ba1e134a62a5b8161-f2511bc37809b2e02237d32b410ac220e818b8ca 1 nonest conflicting
